《机械设计基础》这本书的作者是谁？	杨可桢，程光蕴，李仲生	其他
森麦sm-hd408m.v的单元直径是多少？	40mm	单位
乌克兰推出新型雅塔甘主战坦克的重量是多少吨？	48吨	单位
森泰斯non-604的外观是什么特征？	黑, 兰	人物
四川农业大学园艺学院何时建成的？	2009年	日期
财政部国家发展改革委关于调整高效节能空调推广财政补贴政策的通知何时结束的？	2011年5月31日	日期
陈省身夫妇纪念碑何时落成啊？	2011年6月18日	日期
中华路的主要结点有哪些？	兴仁路 文化路 自强一路 普忠路、南园路 中园路、忠义路 延平路 普义路	地点
山东轻工业学院经济管理学院是什么类型的医院？	综合	词语
印江指环虫寄生在哪里？	鳃	字词
易车铁的密度是？	7.85 cm/g*3	单位
万茜的有什么音乐成就？	第七届全球华语歌曲排行榜最受欢迎新人奖、亚太音乐榜2006－2007年度最佳多栖发展新人奖	日期
尖头花属的拼音是什么？	jiantouhuashu	英文名
纸箱战机wars用什么对话？	日语	语言
超级调教系统什么时候最后更新的？	2011-10-27	日期
东京印象2010这个节目有多长？	30分钟	单位
扔球杂技由哪个开发商开发？	emiam development	英文名
广西长洲水电开发有限责任公司的公司注册地在哪里？	广西梧州市	行政区划
德涅斯特河沿岸使用什么官方文字？	摩尔多瓦语 俄语 乌克兰语	字词
计算机应用基础这本书的出版社是那个？	机械工业出版社	组织机构
告诉我高等数学的出版时间是什么时候？	2004年	日期
我想知道戴维斯是什么国家的人？	美国	二战参战国家
告诉我高等院校素质教育“十二五”规划教材的名字是什么？	职场博弈素质培养	书籍
你知道mc的外文名是什么吗？	emcee	英文名
王平的出生日期是哪一年呀？	1954年	日期
刘勇这个人出生地在哪？	江苏南京	城市
你知道高等数学的定价是多少吗？	28元	单位
王伟是什么职业呀？	画家	人物
城关镇的中文名是什么啊？	城关镇	地点
你知道李军是哪个民族的吗？	汉族	民族
全球通史的装帧是什么样子的？	软装	品牌
苏琳是男的吗？	男	性别
你知道红是什么类别的书？	恋爱 少年	电影
王强是在哪个学校毕业的？	第二军医大学	组织机构
李静是男的女的？	女	性别
河边村的占地面积大概有多少？	1.59平方公里	单位
路虎是哪年成立的？	2014年（甲午年）	日期
你知道夕颜这个东西的中文学名是什么吗？	月光花	植物
王磊是几几年出生的？	1971年	日期
在生物学中钩吻属属于哪个界？	动物界	生物
大家都管李鑫叫什么名字？	大猩猩	生物
张庄村大概有多少人？	972	数字
朴智彬的英文名字有人知道吗？	parkjibin	英文名
电视里演的《神雕侠侣》是哪种类型的电视剧？	剧情 动作	词语
于洋这个人有什么代表作品吗？	普法栏目剧	综艺节目
你知道在生物学中乌龟属于什么门的动物吗？	脊椎动物	动物
陈刚是哪的人？	重庆市	直辖市
有一个叫做疯狂坦克的游戏是什么类型的啊？	射击小游戏	游戏
你知道知母是什么纲的吗？	单子叶植物纲	植物
你知道斐迪南一世的是什么时候去世的吗？	1948年9月10日	日期
告诉我张勇是什么民族的？	明	朝代
我想知道霸气的拼音是什么?	baqi	英文名
你知道圣地亚哥的英文名字是什么吗？	santiago de veraguas	英文名
苹果的拉丁学名是什么呀？	malus pumila mill.	英文名
黎明村的行政类别是什么呀？	村	字词
你知道南煎丸子是什么地方的菜吗？	北京菜	字词
白头翁这个动物是什么属呀？	白头翁属	植物
我想问一下张磊有多高？	180cm	单位
宝华寺是什么地区的建筑？	江西赣县	行政区划
你知道咏菊的作品名称是什么吗？	咏菊	文学作品
我想知道采莲曲的创作年代？	隋代	历史
电视剧红楼梦的导演是谁呀？	李少红	人物
平壤之战是那一年打起来的？	明万历二十一年 （ 1593 ）	书籍
我想知道姬松茸的中文学名是什么？	巴西菇	植物
天堂鸟是什么界的动物呀？	动物界	生物
李敏的出身地在什么地方？	广东梅县	地点
你了解野望的文学体裁是什么吗？	五言绝句	词语
瓦格纳是什么国家的城市？	巴西	书名
能告诉我极乐吻鰕虎是什么门的动物呀？ 	脊索动物门 chordata	生物
你知道长柄船蛆是什么科的吗？	船蛆科	生物
巴恩斯是什么运动项目呀？	拳击	人物
我想知道真相这本书是谁翻译的呀？	陈睿 杨通	人物
告诉我张娜的体重是多少？	72公斤	单位
能告诉我《兄弟》这本书是谁写的吗？	余华 著	人物
我想知道金山中学的创办时间是哪年？	1999年	日期
我想知道王强是什么学校毕业的？	湖北音乐学院	学院
《人物》这本书是什么语言编写的？ 	英文	语言
你知道雷锋日记-拼音版的副标题是什么吗？	雷锋日记	书籍
我想知道雷电这款游戏占多大的内存？	7.87 mb	单位
你知道薄叶卷毛梾木是什么属的吗？	梾木属	植物
我想知道神雕侠侣的上映时间是什么时候？	1998-06-02	日期
能告诉我西藏大学具体是什么类型的大学吗？	211工程 中西部高校基础能力建设工程 西藏自治区人民政府与教育部共建高校	学校
《鲁迅全集》这本书是什么时候出版的呀？	1981年	日期
笑傲江湖这本书是什么语言编的书？	中文	字词
问一下《战略决定成败》是什么装帧的啊？	精装	书籍
龙泉镇是在中国的什么地方啊？	中国 四川	历史
你知道白芷是什么种的植物吗？	白芷	植物
因为有你这首歌是什么时候发行的呀？	2011年	日期
安娜·卡列尼娜这部剧的编剧是谁呀？	winston beard	英文名
能告诉我杨皇后的本名是什么吗？	杨皇后	人物
你知道状元及第粥是什么味道的吗？	咸味	中国食品科学技术学会
你知道《幽灵船》这本书的isbn是多少吗？	9787547003985	数字
请告诉我罂粟是什么种的植物？	罂粟 p. somniferum	歌曲
告诉我中心村的电话区号是什么？	746	数字
你了解李家村的海拔是多少吗？	1900米	单位
罪与罚的对白是用什么语言说的？	俄语	字词
我想知道方便面中有没有添加防腐剂？	否	字词
奥图码pv3225这款产品是干什么用的啊？	娱乐投影机	投影机
能够告诉我石桥镇有多大的面积吗？	87平方公里	单位
第十二夜这部片子要演多久呀？	155 min	单位
你了解张迪的星座吗？	射手座	星座
你知道缘鳍海猪鱼的英文名称是什么吗？	two-eyed wrasse	生物
陈俊的信仰是什么啊？	共产主义	思想体系
濽用拼音怎么拼啊？	zàn、cuán	单位
陈杰是哪个地区的人？	江西省永修县	行政区划
狗是什么亚纲啊？	真兽亚纲	动物
我想知道杨皇后是什么朝代的人啊？	北魏	地点
我想了解一下因为有你这首歌是谁填的词？	王子	人物
哈姆雷特这个剧是谁导演的？	佛朗哥·泽菲雷里	人物
恒大金碧天下这个楼盘的名字是什么？	恒大金碧天下	地点
赛龙镇是属于什么类型的行政区呀？	乡镇	词语
你知道幸福里的建筑面积有多少吗？	94349.30平米	单位
李尔王的出品时间是什么时候？	1969年	日期
你知道因为有你是谁作的曲吗？	潘玮柏	人物
你知道拼搏奥运连连看占多大的内存吗？	258kb	单位
《美女与野兽》是什么时间上映呀？	2005年10月27日	日期
你知道安娜·卡列尼娜的出品公司是哪个嘛？	米高梅	公司
克里斯蒂安是属于什么运动的？	重量  摔跤	体育项目
龙珠的原版名字是什么你知道吗？	七龙珠	娱乐作品
张胜利的政治面貌是什么呀？	党员	人物
兴隆镇的行政区域代码是多少呀？	230126101	数字
你知道何家驹是哪一年出生的在什么地方吗？	1951年3月14日 英属香港九龙城	日期
王森是什么时候去世的啊？	1985年	日期
进击的巨人这本书是哪个社区的啊？	讲谈社comics magazine、 premium kc（限定版） tong li comics	人物
《哈姆雷特》这个剧的画面色彩是怎样的？	彩色	词语
你知道异叶黄钟木的英文名字是什么吗？	pink manjack,	单位
新城街道有多少个村级区域的单位？	14	数字
王志坚的政党是什么呀？	1922年年，王志坚在济南加入中国共产党	日期
你知道新城街道有几个社区吗？	1900年1月5日	日期
你知道古城镇有几个行政村呀？	25	数字
我想知道兴隆镇的地理，人口和经济是怎样的？	201.3平方公里	单位
苦练的色彩是什么样子的？	黑白	游戏
你知道慧聪网有多少员工吗？	4500人（2014年）	日期
亚当斯县的网站是什么啊？	www.co.adams.wi.us	单位
吴鹏的字号是什么啊？	雄飞	字词
恒大金碧天下是什么样子的房子啊？	别墅	地点
你知道蒂埃里·亨利早年得到过什么奖项吗？	代表摩纳哥队获得法甲联赛冠军 代表法国队夺得98年世界杯冠军	日期
 西山大学是在什么时候建立啊？	1955年	日期
彼得斯多夫这个地方的邮编是多少？	8323	数字
米尔顿是那个州的呀？	特拉华州	地点
串烤山鸡这个需要什么辅料啊？	生菜	植物
我想知道李静的血型是什么型的啊？	o型	房产搜索软件
刘节是什么时候出生的啊？	1476年	日期
你知道在水一方是什么音乐风格吗？	流行	书籍
杀人蜂的亚门是什么啊？	六足亚门	动物
你知道杨皇后是什么时候去世吗？	508年	日期
有一种叫做黄金蟒的动物是在生物学中哪个亚门里的？	脊椎动物亚门	动物
永安镇这个小镇的邮政编码是多少？	234000	数字
《告密者》这部电影看完有多久啊？	108分钟	单位
刘强是做什么工作的？	科学家	人物
玉阶怨是哪个人写的？	李白	文学家
开心宝贝之开心星星球这部动画片是开心宝贝哪个系列的？	开心宝贝第五部	动漫形象
你知道太平镇有什么特产吗？	冬枣	植物
城隍庙是什么时代出现的？	1926年	日期
有人知道弹片的含义是什么吗？	[shell fragment;shrapnel;	单位
白沙镇的人都说什么方言啊？	重庆方言	字词
nintendo game cube 的上市时间是什么时候？	日本：2001年9月14日	日期
有人知道女皇之刃的发行日期是几号吗？	2014年[1]	日期
乐咖啡这个餐馆的名字叫什么？	乐咖啡	食品
你知道花山镇属于哪个省市吗？	湖北省	行政区划
有人知道怪物实验室这个电影的评分是多少吗？	1900年1月4日	日期
澳门广播电视股份有限公司是什么时候成立的？	（启播）1984年5月13日 （30岁209天）	日期
谁知道杨光这个人的星座是哪个？	巨蟹	电影
爱上你这个曲子是谁写的？	吕绍淳	人物
谁知道行路难是哪个年代的？	南朝梁	历史
exo-l什么时候能够上线？	韩国时间2014年8月5日上午12点	日期
你知道华盛顿大学现在的校长叫什么名字吗？	michael k. young	单位
flower 是哪个唱片公司发行的？	sony music associated records	英文名
张宇这个人有外文名字吗？	philchang	英文名
你知道李明这个人叫什么吗？	李明	人物
李敏的学历大概是什么啊？	研究生学历	人物
能告诉我北京世纪华天大酒店有多少个房间吗？	365	数字
战侠ol这部游戏使用的是什么语言？	中文	字词
乔治·沃克·布什这个人是男生吗？	男	性别
你知道《美女与野兽》的编剧是谁吗？	让·谷克多jean cocteau	人物
八哥这种鸟是什么亚目的啊？	裂脚亚目	动物
环境规划与管理的版次是多少？	2	数字
你知道李红是什么职称吗？	教授	人物
城郊乡的政府驻地在什么地？	富康社区	地点
你知道cp这个词语是从哪里来的吗？	跑跑卡丁车	游戏
style icon awards这个活动的主办单位是谁啊？	cj e&m	单位
我想知道李敏是什么时候出生的呀？	1961年3月	日期
你知道玉阶怨是出自那个作品吗？	《全唐诗》	书籍
皇冠国际的行政区域是什么地方啊？	高新西区	地点
列夫·达维多维奇·托洛茨基是什么时候去世的啊？	1940年8月21日（60岁）（遇刺） df, mexico（英语：mexican federal district）科约阿坎区	日期
我想知道无锡侬侬婚纱摄影这个店是什时候可以接待客人？	am 8：00~pm 21：00	单位
徽宴楼（濉溪路店）这个店大概一个人要花多少钱？	102	数字
我想知道万寿寺原来叫什么名字啊？	聚瑟寺	地点
你知道暗潮传媒的创始人是谁吗？	王武力	人物
你知道玝这个字有几笔吗？	8	数字
你知道ipad mini 2的重量有多少吗？	331g	单位
六经的词性是什么你知道吗？	名词	语言
太平洋星是在什么时候发现的啊？	march 30, 1882	单位
2004 xp14是什么时候发现的？	2004年12月10日	日期
你知道沥口村所属国是什么啊？	中国	历史
你知道潘梦莹是哪个民族的吗？	汉	城市
格林维尔用英文怎么说啊？	madison county, florida	单位
兔子和猫谈恋爱4这个游戏是在那个网站可以找到啊？	4399小游戏	游戏
驰为速pad mini v88这个东西的储存容量是多少啊？	2gb	单位
告诉我易迅网有什么应用平台吗？	ios	英文名
西北大学是什么时候创立的啊？	1851	数字
房利美这个公司的类型是什么啊？	国有企业	公司
爱酷的软件是多大的啊？	7.63mb	单位
兰道夫县是什么时候成立的啊？	1821年2月5日	日期
告诉我榆阳区巴拉素镇中学有多少学生啊？	600	数字
上海紫藤宾馆是在什么时候开业啊？	1990年2月18日	日期
你知道妙音符咒师有什么别的名字吗？ 	无	人物
21cake这种元素里面有什么营养成分呀？	奶油 芝士	食品
天眼这部片子是在什么地点拍摄的？	济南市公安局	组织机构
你知道nexus 7 是什么操作系统吗？	android 4.1	单位
nsk nj238+hj238轴承这个工件的轴承内径有多大？	190 mm	单位
loving 这首歌的发行时间是什么时候？	2006-09-15	日期
费尔南多·托雷斯的球衣号码是多少呢？	19号	人物
尼柯尔·桑伯恩 属于什么机关管理你知道吗？	纽约州第七民兵团（1861年）	日期
大明星杨幂工作室是属于什么公司？	嘉行天下	文学作品
你知道李元中是什么朝代的吗？	隋朝	历史
东庄村总面积有多大啊？	4.3平方公里	单位
织女一的赤经是多少？	18h 36m 56.3s	单位
sga的组成是什么啊？	共享池	计算机术语
卡通测试应用程序的版本是多少啊？	1	数字
超导无轴陀螺空天载具是属于什么领域的？	物理科学	书籍
同名专辑的专辑歌手是谁呢？	薛之谦	人物
你知道acer 4735z-422g25mn的cpu型号是什么吗？	intel 奔腾双核 t4200	公司
旭光村是属于什么市的？	肥东县	行政区划
乾陵建成时间是什么时候？	唐光宅元年 公元683年	日期
玄妙观所在地是哪里？	江苏省苏州市	城市
你知道贝加莫省的邮政编码吗？	24100	数字
财政学这本书的出版社是哪一个？	中国人民大学出版社	公司
诛仙的出版日期是在什么时候？	2006年4月15日	日期
白云山的开放时间是几点 ？	08:00--17:30	日期
你知道五指山翡翠谷的容积率是多少吗？	1900年1月0日	日期
雅芳2013年营业额是多少呢?	113亿美元（2013年）	日期
神雕侠侣每一集电视剧大概有多长时间？	41分钟	单位
中山纪念堂的登录时间是多少呢？	2008年	日期
请告诉我《哈姆雷特》是那个电影公司拍摄的？	美国哥伦比亚电影公司	公司
安德拉邦是在什么时候建立的？	1953年10月1日（61年前）	日期
htc这个品牌的总部在什么地方？	台湾省桃园县	中国其他行政区划
麒麟村是中国的哪一个省份？	广东省	省份
《无人生还》这本书有多少字？	130000 万字	历史
山楂茯苓颗粒都有什么用途吗？	内科	医学术语
你知道十笏园的建筑类型吗？ 	园林建筑	地点
天气预报员是属于什么级别的啊？	uk:15 brazil:14 usa:r sweden:7	单位
惠普compaq 6520s(gx547pa)的cpu主频是什么型号的啊？	intel 酷睿2双核 t7250	公司
qtp自动化测试权威指南这本书的原名是什么啊？	quicktest professional unplugged, 2nd edition	单位
塞镇2001年有多少人呢？	1913年1月2日	日期
《仙剑奇侠传3》是用什么平台玩的游戏？	电脑单机	单机
你知道氐宿四是属于什么光谱吗？	b8	歌曲
你知道酱爆鸭的工艺是什么吗？	酱爆	人物
做巧克力燕麦饼干那难度大吗？	普通	字词
我想知道永安镇机场叫什么名字？	徐州观音机场	地点
中国公务员考试网的网站名称是什么啊？	中国公务员考试网	网站
asl 的全称是什么啊你知道吗？	average search length	英文名
金琥用二名法叫是怎么说呢？	golden barrel, golden ball cactus	单位
你知道延安路有多长吗？	14220米	单位
我想问一下透长石的颜色？	无色	人物
xfx讯景8600gt(t84j-ua3b) 这个芯片是什么厂商做的啊？	nvidia	英文名
你知道梁山伯与祝英台是什么时间首播的吗？	1997年	日期
拉瓦斯蒂达是属于什么自治区呀？	巴斯克自治区	地点
你了解香港信贷的组织形式吗？	国有独资	公司
哈雷彗星的轨道周期是多少年？	76～79年	日期
神雕侠侣这部电视剧的监制是谁？	李添胜	人物
ultrapixel这个产品的发布时间爱你是什么时候啊？	2013年2月19日	日期
你知道昔神星的近日点在什么地方吗？	2.7571486 au	自然学科
believe这个专辑的语言是什么啊？	英语	语言
你知道彭州市人名医院的员工数有多少吗？	916	数字
我想了解一下技嘉ga-990xa-ud3 的主芯片组是什么/	amd 990	单位
你知道圣保罗市什么大区的吗/	东南	人物
岩脚村的国土面积是多少？	1.26平方公里	单位
小行星552是在什么地方发现的啊？	海德堡	地点
为笔记这个软件名称是什么啊？	微笔记	软件
你知道巴拿马航空是属于什么产品服务吗？	航空运输	行业人物
七彩虹镭风x800 256m的显卡芯片是什么的？	radeon x800	单位
你知道启东市人民医院是几级的吗？	三级综合性医院	医院
松鹤楼是什么时间创立的？	清乾隆二十二年（1757年）	日期
好搜百度的网站类型是什么啊？	百科	词语
中原银行的注册资本是多少元？	154.2亿元	单位
你知道刘兰字什么吗？	文郁	主持人
你知道蒙古四獒都包括什么吗？	速不台	蒙古帝国大将
你知道上海希尔的注册资金是多少钱？	500.00万	单位
你知道异世龙逍遥的小说性质是什么吗？	网络小说	小说
你知道合肥工业大学的主管部门是什么吗？	中华人民共和国教育部	组织机构
巧克力燕麦饼干的菜名是什么啊？	巧克力燕麦饼干	食品
中国青年党的基本资料有哪些啊？	1923年12月2日（91年53天） 于法国巴黎	日期
你知道brocade 425（双端口）的接口类型是什么啊？	pci-e	技术
你知道道格拉斯的体重是多少吗？	90kg	单位
你知道32217轴承的外经是多大吗？	150.000 mm	单位
请告诉我许诺的身高是多少啊？	178cm	单位
学生赚的官方网站是什么啊？	学生赚	手机
你知道前海花园二期的物业类型是什么吗？	住宅	词语
海德公园是在那个城市啊？	太原	地点
你知道玝的部首笔画是多少吗？	4	数字
你知道隆回县第一中学的建筑总面积是多少吗？	6．88万平方米	单位
我想了解一下漫画派对的类别是什么？	漫画	美术家
我想了解一下了不起的盖茨比的分级是什么时候啊？	usa:pg-13 / uk:12a	单位
你知道美元的网址是什么吗？	www.federalreserve.gov	单位
土木基础的创刊时间是什么时候啊？	1981年	日期
你知道华擎g41m-vs2的cpu插槽是什么型号吗？	lga 775	单位
你知道科技视界的主管单位是谁吗？	上海市科学技术协会	组织机构
你知道麦莉·赛勒斯的活跃年代吗？	2003年至今	日期
你知道香馕用繁体字怎么写吗？	饢	字词
我想了解一下thinkpad e420 1141a64处理器型号是什么啊？	intel 酷睿 i3 2330m	公司
上卫的径向速度 (rv)是多少啊？	0.11 km/s	单位
心中是楼盘ⅱ是什么语种啊？	中英文	英文
田园村用平文式罗马字应该怎么写啊？	tawaramura	英文名
你知道小行星2061的历元是什么吗？	历元 2456400.5 (2013年4月18日更新)	日期
幼儿园的出版周期是多长时间啊？	半月刊	词语
你知道埋伏的导演是谁吗？	阿健	人物
御·清怡堂是属于什么行业啊？	护理	词语
超极品狂少的首发网站是哪个？	创世中文网	网站
瓦西在2009年有多少人啊？	542	数字
嫦娥二号卫星是属于哪个国家的？	中华人民共和国	人物
宏碁one 200-314g50n 这个机子的处理器主频是多少啊？	1.20ghz	单位
华东公路的出版周期有多长啊？	双月刊	字词
我想知道凤凰山的门票价格四多少？	免费	词语
《细路祥》的这个电影是几级的？ 	france:u	单位
独行侠的上映日期和发行时间是什么时候？	美国 2013年7月3日 台湾 2013年7月18日  香港 澳门 2013年8月8日  中国 2013年10月5日	日期
地下铁公司是那个？	emi virgin	英文名
天语t619这部手机的手机类型是什么啊？	智能手机;3g手机	手机
你知道卡耐基人际交往这本书所用的纸张是什么样子的吗？	胶版纸	工业产品
香山南路19号院是属于什么区域板块的?	海淀区	地点
上游水库的竣工时间是什么时候？	1968年	日期
华硕s56x3317cm-sl(500gb)厚度是多少啊？	21mm	单位
龙泉寺是从什么时候开始建设的啊？	元朝大德元年（1279年）	日期
你知道赵文卓甄子丹事件都有谁吗？	甄子丹	人物
我想知道连战的前任 是谁？	李登辉	人物
蒋垂义是属于什么运动项目啊？	健美	体育人物
重生之天才鬼医这个小说是什么类型的啊？	穿越小说	文学作品
郭顶是属于什么地区的人啊？	内地	词语
我想了解一下青山镇主要是什么民族的？	汉族	民族
广州早报的国内刊号是什么啊？	cn44-0177	单位
你知道罗马足球俱乐部的成立时间是什么时候吗？	1927年1月1日	日期
你知道仲夏夜之梦的摄影师是谁吗？	hal mohr	英文名
向阳村有多少户人口啊？	267	数字
《笑傲江湖》的制片人是谁啊？	于正	人物
你知道中华人民共和国主席令第四十三号发布时间是什么时候吗？	2012年1月1日	日期
鸡血七（亚种）是属于什么亚属啊？	大叶紫堇组 sect. asterostigmata	植物
安倍定则是时提出的啊？	安德烈·玛丽·安培	人物
连战是谁在继任啊？	马英九	人物
你知道高田ic是从什么时候开始启用的吗？	1995年10月13日	日期
金鬃与什么相关？	金 jīn 一种化学元素	人物
音乐情人节的中文名称是什么时候啊？	音乐情人节	游戏
奥托的全名是什么啊？	奥托·威廉·柳特波德·	人物
我想知道中华哮喘杂志的创刊时间是什么时候？	2007年4月	日期
保肝能的用法是什么？	口服	字词
你知道灰姑娘的拍摄日期吗？	2006年	日期
射雕英雄传的作曲是谁啊？	顾嘉辉	人物
掰脚趾腕的起源是在什么地方啊？	英国	国家
你知道节奏大师的最新版本是多少吗？	v2.5.1.2 (android) v2.5.1 (ios)	单位
巴音郭楞职业技术学院是属于什么学校属性啊？	高职专科	人物
聊城大学学报（自然科学版）的国际刊号是多少啊？	issn 1672-6634	单位
trojan-downloader.win32.delf.cif这个病毒是什么类型的啊？	下载者	词语
王涛俱乐部资料的信息？	无	人物
你知道幼儿园国内刊号是什么吗？	cn37—1039/i	单位
龟峰塔是建于那年的？	南宋绍兴二年	中国历史人物
你知道凤凰广场的总投资是多少吗？	297万元	单位
颞的部首是什么？	页	字词
邦华i7 的网络模式是什么啊？	|wcdma|gsm|	单位
创新zenvision产品的重量是多少？	232g	单位
藏獒是什么类型的狗啊？	家犬	动物
你知道赤霉素的本质是什么吗？	植物激素	激素
曙光天阔i640r-g这款产品的cpu类型是什么啊？	intel 至强5600	公司
巨兽龙的体重是多少啊？	8-11.5吨	单位
你知道葡萄糖1-脱氢酶的cas号是什么吗？	37250-49-0	日期
多伦多大学的现任校长是谁啊？	meric gertler	英文名
虎皮鹦鹉的命名时间是什么时候啊?	shaw, 1805	小说
郑立志的医院叫什么名字？	沧州市人民医院	组织机构
幻世记是连载状态吗？	连载中	文学作品
流山市的罗马拼音是什么啊？	naganeyama -shi	单位
你知道泰坦尼克号是谁配乐的吗？	詹姆斯·霍纳	人物
傲慢与偏见是谁剪辑的啊？	chris wimble	英文名
我想了解一下暴风雪号航天飞机有多高？	16.35米	单位
猞猁是谁命名的，在什么时候？	linnaeus, 1758	单位
你知道河南理工大学的校训是什么吗？	明德任则 好学力行	字词
优质饲草青贮饲料的研究的书叫什么名字啊？	优质饲草青贮饲料的研究	书籍
我想知道国民会议的结构是什么样子的？	200	数字
蒋玲的研究方向是什么啊？	西方经济学	经济学
阿基米德定律可以应用与什么学科？	流体静力学	自然学科
我想知道greatest hits 是那个歌手的？	shakira 夏奇拉	歌手
别了疯了的发行地区是什么地方？	中国	历史
咏史的体裁是什么啊？	七言诗	文学作品
氧化胺的外观是什么样子的？	无色透明液体	液体
壳中少女是什么时候上映啊？	2010年11月6日	日期
爸爸去哪儿是什么时候播？	第一季：2013年10月11日－2013年12月27日 第二季：2014年06月20日－2014年10月03日－	日期
嘉祥县妇幼保健院的医院名称？	嘉祥县妇幼保健院	组织机构
小行星12282的轨道参数是多少啊？	2.7189330 ua	组织机构
上海红房子医院是什么类型的医院？	妇产科	人物
100位为新中国成立作出突出贡献的英雄模范人物的这本书是什么单位？	册	字词
能告诉我刘雪华的祖籍是什么地方吗？	山东	行政区划
胡文瑞这个人的母校是哪个？	北京大学	文学作品
你知道a.o.史密斯ewh-60a5外形尺寸有多大吗？	685*483*470mm	单位
你知道无事生非的编剧是谁吗？	martin hellberg	英文名
我想知道over the rainbow有多少曲目？	12	数字
你知道安仁镇这个地区的电话是多少吗？	28	数字
你知道高月是演的谁吗？	胡冰卿 刘楚恬（3岁时）	人物
我先问问红警3修改器的软件类别是什么？	游戏视频 / 免费软件 / 游戏工具	游戏
告诉我里博卡斯在球场的什么位置？	中场	人物
张树才是男的吗？	男	性别
你知道鼓楼区的面积是多少吗？	35.7平方千米	单位
广西民族大学学报的国际刊号是多少啊？	issn1673-8179	单位
你知道《傻得可以》是谁演唱的吗？	范玮琪	人物
遗传性凝血因子ⅶ缺乏应该在什么科室就诊？	内科	医学术语
索尼xperia z ultra 的上市时间是什么时候？	2013年第三季度	日期
我爱你这首歌曲的演唱者是谁？	萧贺硕	人物
三氯乙烷的CAS登录号是什么？	71-55-6	日期
李家村的年降水量有多少毫米呀？	980毫米	单位
我想知道光道方舟大天使米迦勒的星级是多少啊？	7	数字
现在滴滴打车是什么版本的/	v2.8	单位
海信tlm32v67k这个电视的屏幕比例是多少啊？	16:9	日期
你知道月光是谁作曲的吗？	杨瑞代	人物
我想知道石炮台公园的开始建立的时间是哪一年？	1874年	日期
神雕侠侣是哪一个公司制作的？	香港电视广播有限公司 （tvb）	公司
你知道安仁镇这个地区的邮编是多少吗？	611331	数字
龙津桥有多长你知道吗？	54.4米	单位
我想了解一下雪丰钢铁有多少的员工？	2265	数字
你知道刘金的星座是什么吗？	射手座	星座
你知道哈利·波特与魔法石是什么书号吗？	isbn 978-7-02-003343-0	单位
全美超级模特儿新秀大赛什么时候播出啊？	the cw	英文名
倩女幽魂是什么公司制片的？	电影工作室 新艺城	公司
我想知道修真门派掌门人完成字数是多少啊？	1071144	数字
你知道草地上的午餐是什么风格的文章吗？	写实主义	画家
白银t+d开盘时是什么时候？	冬时令 20:00-凌晨02:30	日期
你知道萧亚轩的宗教信仰是什么吗？	基督教	历史
天龙八部是哪个国家的剧？	中华民国	历史
贵阳喜百年酒店距离机场大概有多远？	贵阳龙洞堡机场;15公里	地点
富阳公主的亲戚是谁啊？	晋恭帝	人物
德克斯特的实验室的格式是什么/	avi-tvrip	单位
锦绣山河四期在什么区域啊？	全国	字词
你知道永安桥有多宽吗？	4米	单位
系统营养与人体健康这本书用多少钱可以买到啊？	￥58.00元	单位
桑达sedy690的网络频率是多少啊？	gsm/gprs；900/1800mhz	单位
托马什·罗西基是青年队的什么？	čkd kompresory prague 布拉格斯巴达	地点
发条传说：格拉斯与英克是单机的游戏吗？	单机游戏	游戏
新洲大厦是属于什么板块的？	中关村	地点
你知道爱丽丝梦游仙境症是应该在什么科室看病吗？	内科 -	医学术语
第七届世界核桃大会的主题是什么？	健康 生态 绿色 共享	字词
延庆妇幼保健院的医院是什么性质的医院？	国营	字词
证劵交易命题点解读与模拟试卷的版次是第几啊？	1	数字
小学教学参考书的出版地是什么地方？	广西 南宁	地点
勇者30的发售日期定在什么时候？	2009年5月28日	日期
利刃之魂是属于什么类型的游戏？	单机	书籍
痴情司的定价是多少钱啊？	19	数字
你知道费尔维尤2010年的人口有多少吗？	62	数字
f(x) 的出道日期是什么时候？	2009年9月5日	日期
海尔kfrd-35gw/03me-s4空调是什么类型的？	壁挂式空调	空调
牛顿第一运动定律的提出时间是什么时候？	1687年	日期
pa的缩写是什么？	pa	英文名
原干惠的三围是多少？	37 - 24 - 35	公司
你知道小狼犬丛林冒险是如何开始的吗？	游戏加载完成后，点击 play 即可	字词
桥梁构造者是什么时候更新的？	2014年4月	日期
fag 7603040-tvp轴承 是什么品牌的？	fag	英文名
你知道沛县有什么特产吗？	郭家烧鸡 、鼋汁狗肉、崔寨狗肉	食品
羟甲基纤维素该怎么识别？	9000-11-7	日期
心理维他命适用于什么？	心理	词语
你知道伊斯兰教史有多少页吗？	619	数字
迪欧的种族是什么？	半精灵	人物
f5 big-ltm-8800-4gb-rs的设备类型是什么？	负载均衡器 纠错	词语
侠盗猎车手：圣安地列斯是属于什么系列的？	侠盗猎车手	游戏
鞭打快牛的近义词有什么？	枪打出头鸟	字词
清康熙景德镇窑豇豆红釉瓶是属于什么年代的？	清	朝代
android studio的软件平台是什么？	linux，mac os x，windows	单位
你知道死亡空间是用什么开发的吗？	ea swiss sarl	英文名
魔法少女小圆漫画作品是在什么期间连载的？	2011年2月12日－5月30日	日期
东云站是什么时候启用的?	1996年（平成8年）3月30日	日期
大卫·德赫亚是属于什么运动队啊你知道吗?	曼彻斯特联足球俱乐部	社会团体
